galaxy,n_radial,chi2_red_mond,chi2_red_heat_baseline,chi2_red_heat_full,mean_dex_res_mond,mean_dex_res_heat_baseline,mean_dex_res_heat_full
CamB_rotmod.dat,9,40.419526,37.336591,37.438489,-0.866526,-0.838975,-0.839759
D564-8_rotmod.dat,6,12.229776,9.945593,9.962741,-0.307264,-0.278541,-0.278762
D631-7_rotmod.dat,16,18.859399,15.564136,15.659522,-0.205659,-0.178313,-0.178977
DDO064_rotmod.dat,14,0.312025,0.218524,0.220931,-0.056582,-0.029402,-0.030517
DDO154_rotmod.dat,12,80.839158,26.582660,27.286803,-0.111391,-0.083361,-0.083811
DDO161_rotmod.dat,31,112.656027,87.531094,88.223325,-0.297422,-0.270257,-0.271011
DDO168_rotmod.dat,10,21.590135,16.841243,17.053478,-0.163973,-0.137598,-0.138895
DDO170_rotmod.dat,8,119.027393,88.812270,89.396904,-0.201743,-0.174024,-0.174546
ESO079-G014_rotmod.dat,15,8.386690,15.867782,13.784490,0.011437,0.034551,0.030684
ESO116-G012_rotmod.dat,15,14.444340,22.603029,21.652561,0.055401,0.080150,0.077730
ESO444-G084_rotmod.dat,7,35.388311,45.510193,45.103274,0.174145,0.201212,0.200295
ESO563-G021_rotmod.dat,30,64.446811,77.291590,74.194318,0.061424,0.080921,0.076040
F561-1_rotmod.dat,6,22.007048,19.714814,19.835191,-0.459387,-0.433875,-0.435036
F563-1_rotmod.dat,17,3.941395,4.807266,4.789155,0.158801,0.185695,0.185180
F563-V1_rotmod.dat,6,14.774705,13.600015,13.625433,-0.647989,-0.620921,-0.621426
F563-V2_rotmod.dat,10,6.351956,7.407166,7.332417,0.224142,0.249759,0.248269
F565-V2_rotmod.dat,7,1.223979,1.964713,1.942939,0.042237,0.069251,0.068708
F567-2_rotmod.dat,5,4.868390,4.015948,4.036752,-0.314327,-0.288252,-0.288912
F568-1_rotmod.dat,12,9.720682,11.449114,11.332480,0.231938,0.256830,0.255475
F568-3_rotmod.dat,18,2.364215,2.400255,2.386862,-0.042643,-0.017309,-0.018556
F568-V1_rotmod.dat,15,13.814435,15.969377,15.881181,0.230585,0.255995,0.255018
F571-8_rotmod.dat,13,38.190845,43.285892,42.908028,-0.118835,-0.097195,-0.100066
F571-V1_rotmod.dat,7,0.701560,0.306867,0.315169,-0.080146,-0.054233,-0.054951
F574-1_rotmod.dat,14,4.016608,5.676236,5.594206,0.040395,0.065387,0.064370
F574-2_rotmod.dat,5,9.352184,8.701433,8.722192,-0.786541,-0.760593,-0.761260
F579-V1_rotmod.dat,14,4.942698,5.737470,5.682626,0.157106,0.181159,0.179307
F583-1_rotmod.dat,25,3.892195,4.826963,4.810298,0.014330,0.041768,0.041223
F583-4_rotmod.dat,12,1.183843,0.569581,0.587591,-0.072622,-0.046376,-0.047156
IC2574_rotmod.dat,34,159.353173,129.034676,129.534594,-0.263681,-0.235508,-0.235996
IC4202_rotmod.dat,32,18.451464,21.273929,20.390418,-0.045795,-0.028537,-0.033917
KK98-251_rotmod.dat,15,19.389915,16.288679,16.398990,-0.394858,-0.367118,-0.367879
NGC0024_rotmod.dat,29,13.495489,16.920984,16.367629,0.216746,0.239858,0.235392
NGC0055_rotmod.dat,21,39.837335,29.895560,30.425095,-0.198407,-0.172205,-0.173649
NGC0100_rotmod.dat,21,1.570196,1.373003,1.376335,-0.086858,-0.060801,-0.062162
NGC0247_rotmod.dat,26,4.615681,7.007367,6.928931,-0.016912,0.009699,0.008456
NGC0289_rotmod.dat,28,9.870739,6.386709,6.511004,-0.080981,-0.057636,-0.058895
NGC0300_rotmod.dat,25,2.601714,4.915537,4.803982,0.035351,0.061954,0.060828
NGC0801_rotmod.dat,13,72.838247,55.365376,59.174333,-0.082169,-0.065030,-0.068136
NGC0891_rotmod.dat,18,29.969523,20.855920,22.947524,-0.083697,-0.068526,-0.073222
NGC1003_rotmod.dat,36,11.730175,6.649256,6.773558,-0.055282,-0.028461,-0.029221
NGC1090_rotmod.dat,24,38.739909,23.552231,25.167420,-0.111098,-0.088883,-0.091930
NGC1705_rotmod.dat,14,19.128979,23.438111,23.198649,0.246901,0.272677,0.271509
NGC2366_rotmod.dat,26,19.333894,14.247203,14.440246,-0.238014,-0.210993,-0.211987
NGC2403_rotmod.dat,73,80.867558,164.363354,145.669330,0.035043,0.057652,0.053660
NGC2683_rotmod.dat,11,1.958178,2.163942,2.027522,-0.038848,-0.016414,-0.018978
NGC2841_rotmod.dat,50,104.404848,134.167812,128.248186,0.172761,0.192097,0.188962
NGC2903_rotmod.dat,34,7.391184,15.293137,11.312674,-0.061479,-0.044345,-0.047612
NGC2915_rotmod.dat,30,9.997802,12.201795,12.155772,0.157652,0.184563,0.183875
NGC2955_rotmod.dat,24,7.428331,5.968733,6.179720,-0.043375,-0.029692,-0.034070
NGC2976_rotmod.dat,27,2.409337,1.631610,1.805577,-0.136639,-0.114912,-0.121321
NGC2998_rotmod.dat,13,15.796854,8.266225,9.326924,0.108021,0.127779,0.124330
NGC3109_rotmod.dat,25,5.331217,6.937857,6.886973,0.004419,0.032669,0.032193
NGC3198_rotmod.dat,43,12.209887,5.832728,5.899197,-0.069373,-0.046266,-0.049826
NGC3521_rotmod.dat,41,0.770080,1.203224,1.032702,0.015228,0.027267,0.025151
NGC3726_rotmod.dat,12,20.567490,15.072223,16.189060,-0.128894,-0.106290,-0.110269
NGC3741_rotmod.dat,21,1.287086,2.168599,2.155452,-0.008847,0.019536,0.019222
NGC3769_rotmod.dat,12,4.036257,2.444803,2.580616,-0.104438,-0.080284,-0.082256
